iter	Passed	Remaining
145	565	3306
146	567	3293
147	569	3278
148	571	3263
149	573	3248
150	575	3233
151	582	3247
152	583	3232
153	585	3217
154	587	3202
155	589	3189
156	591	3177
157	601	3205
158	603	3190
159	604	3175
160	607	3164
161	609	3154
162	612	3146
163	614	3132
164	616	3121
165	618	3109
166	624	3113
167	626	3104
168	629	3093
169	630	3080
170	632	3067
171	634	3053
172	640	3063
173	642	3051
174	644	3037
175	645	3024
176	647	3011
177	650	3001
178	654	3004
179	656	2992
180	658	2979
181	660	2966
182	661	2954
183	663	2943
184	669	2947
185	670	2935
186	672	2924
187	674	2912
188	676	2901
189	678	2892
190	681	2885
191	683	2874
192	685	2864
193	687	2854
194	689	2844
195	690	2833
196	693	2826
197	695	2815
198	696	2805
199	698	2793
200	699	2782
201	701	2770
202	703	2760
203	704	2750
204	710	2755
205	712	2746
206	714	2735
207	715	2725
208	717	2714
209	719	2707
210	726	2717
211	728	2708
212	730	2698
213	731	2687
214	733	2676
215	737	2676
216	739	2669
217	741	2659
218	742	2649
219	744	2638
220	745	2627
221	746	2616
222	752	2623
223	754	2614
224	756	2604
225	757	2594
226	758	2583
227	759	2572
228	761	2562
229	762	2552
230	765	2546
231	767	2541
232	769	2533
233	771	2525
234	773	2516
235	774	2507
236	776	2498
237	780	2497
238	783	2494
239	785	2486
240	786	2478
241	788	2470
242	790	2462
243	793	2457
244	795	2451
245	797	2444
246	799	2438
247	801	2430
248	803	2423
249	810	2430
250	812	2424
251	814	2416
252	816	2410
253	818	2404
254	827	2417
255	829	2410
256	831	2404
257	833	2396
258	841	2406
259	843	2399
260	845	2392
261	847	2385
262	848	2377
263	852	2376
264	854	2369
265	855	2360
266	856	2352
267	858	2343
268	859	2334
269	860	2326
270	861	2318
271	862	2309
272	870	2318
273	872	2312
274	874	2305
275	876	2298
276	878	2292
277	882	2291
278	884	2285
279	885	2277
280	887	2270
281	888	2262
282	889	2254
283	890	2245
284	892	2239
285	898	2243
286	900	2236
287	902	2230
288	903	2223
289	905	2216
290	907	2211
291	909	2206
292	911	2200
293	913	2193
294	915	2188
295	917	2182
296	925	2190
297	927	2184
298	929	2179
299	931	2173
300	933	2166
301	938	2168
302	940	2162
303	941	2155
304	943	2149
305	945	2143
306	946	2137
307	948	2132
308	951	2127
309	953	2122
310	954	2115
311	957	2110
312	958	2103
313	960	2097
314	963	2096
315	966	2092
316	968	2087
317	970	2081
318	972	2075
319	973	2068
320	977	2066
321	979	2062
322	981	2056
323	982	2050
324	984	2045
325	986	2038
326	988	2033
327	991	2030
328	992	2024
329	994	2018
330	995	2012
331	997	2006
332	998	2000
333	1004	2002
334	1006	1997
335	1007	1991
336	1009	1985
337	1010	1978
338	1011	1972
339	1012	1966
340	1016	1965
341	1018	1960
342	1020	1954
343	1021	1948
344	1023	1942
345	1024	1936
346	1026	1931
347	1036	1942
348	1039	1939
349	1041	1934
350	1044	1931
351	1046	1927
352	1048	1922
353	1050	1917
354	1052	1912
355	1054	1906
356	1056	1902
357	1063	1906
358	1065	1902
359	1067	1897
360	1069	1892
361	1071	1887
362	1074	1885
363	1077	1882
364	1079	1877
365	1081	1873
366	1083	1868
367	1085	1863
368	1092	1867
369	1095	1864
370	1098	1862
371	1100	1857
372	1105	1858
373	1107	1854
374	1109	1849
375	1111	1844
376	1113	1839
377	1114	1834
378	1117	1831
379	1120	1828
380	1122	1824
381	1124	1819
382	1126	1814
383	1128	1809
384	1131	1808
385	1137	1808
386	1139	1805
387	1142	1802
388	1152	1810
389	1154	1806
390	1159	1806
391	1168	1812
392	1170	1807
393	1171	1802
394	1173	1796
395	1174	1791
396	1184	1799
397	1186	1794
398	1188	1790
399	1193	1790
400	1195	1786
401	1197	1781
402	1199	1777
403	1201	1773
404	1204	1768
405	1206	1765
406	1208	1761
407	1211	1757
408	1213	1753
409	1215	1749
410	1217	1744
411	1219	1740
412	1224	1740
413	1229	1740
414	1231	1736
415	1235	1734
416	1242	1736
417	1244	1732
418	1245	1727
419	1247	1722
420	1251	1721
421	1254	1718
422	1256	1713
423	1258	1709
424	1260	1704
425	1261	1700
426	1264	1696
427	1267	1694
428	1269	1689
429	1270	1683
430	1271	1678
431	1273	1674
432	1279	1674
433	1281	1670
434	1282	1666
435	1284	1661
436	1286	1656
437	1287	1652
438	1289	1647
439	1291	1643
